Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,2328, 2328-Dec-15 13:15:00 UTC,0.207,28.005
Jupiter Uranus,2342, 2342-Apr-01 10:29:00 UTC,0.183,24.222
Jupiter Uranus,2355, 2355-Jul-13 13:13:00 UTC,0.706,69.909
Jupiter Uranus,2355, 2355-Nov-10 23:58:00 UTC,0.944,170.985
Jupiter Uranus,2356, 2356-Feb-08 05:40:00 UTC,0.589,79.244
Jupiter Uranus,2369, 2369-Jun-19 09:25:00 UTC,0.385,7.646
Jupiter Uranus,2383, 2383-Aug-06 00:27:00 UTC,0.214,26.255
Jupiter Uranus,2397, 2397-Oct-24 08:30:00 UTC,0.538,15.95
Jupiter Uranus,2411, 2411-May-09 03:37:00 UTC,2.023,120.575
Jupiter Uranus,2411, 2411-Nov-26 19:59:00 UTC,0.209,43.316
Jupiter Uranus,2425, 2425-Mar-17 13:39:00 UTC,0.15,13.661
Jupiter Uranus,2438, 2438-Jun-21 06:50:00 UTC,0.624,53.013
Jupiter Uranus,2438, 2438-Dec-27 21:58:00 UTC,1.02,119.167
Jupiter Uranus,2452, 2452-May-30 00:01:00 UTC,0.381,22.123
Jupiter Uranus,2465, 2465-Dec-25 13:15:00 UTC,0.571,117.491
Jupiter Uranus,2466, 2466-Jul-09 17:58:00 UTC,0.22,46.533
Jupiter Uranus,2480, 2480-Sep-29 15:04:00 UTC,0.533,34.704
Jupiter Uranus,2494, 2494-Apr-06 00:28:00 UTC,0.574,90.131
Jupiter Uranus,2494, 2494-Jun-11 20:35:00 UTC,0.498,156.053
Jupiter Uranus,2494, 2494-Nov-04 16:12:00 UTC,0.215,60.843
Jupiter Uranus,2508, 2508-Mar-02 02:38:00 UTC,0.127,1.707
Jupiter Uranus,2521, 2521-Jun-03 13:20:00 UTC,0.562,39.435
Jupiter Uranus,2535, 2535-May-11 09:50:00 UTC,0.383,37.029
Jupiter Uranus,2548, 2548-Oct-29 23:16:00 UTC,0.008,64.095
Jupiter Uranus,2549, 2549-Feb-28 02:21:00 UTC,0.341,171.566
Jupiter Uranus,2549, 2549-Jun-05 06:25:00 UTC,0.255,74.734
Jupiter Uranus,2563, 2563-Jan-27 04:02:00 UTC,0.747,86.51
Jupiter Uranus,2563, 2563-Apr-03 22:08:00 UTC,0.935,154.485
Jupiter Uranus,2563, 2563-Sep-02 08:26:00 UTC,0.556,57.435
Jupiter Uranus,2577, 2577-Mar-03 17:26:00 UTC,0.563,60.652
Jupiter Uranus,2577, 2577-Jul-26 21:41:00 UTC,0.374,155.987
Jupiter Uranus,2577, 2577-Oct-03 04:00:00 UTC,0.235,89.226
Jupiter Uranus,2591, 2591-Feb-15 09:24:00 UTC,0.11,10.114
Jupiter Uranus,2604, 2604-May-19 13:34:00 UTC,0.515,28.297
Jupiter Uranus,2617, 2617-Oct-04 14:22:00 UTC,0.797,104.632
Jupiter Uranus,2617, 2617-Nov-04 05:54:00 UTC,0.81,135.331
Jupiter Uranus,2618, 2618-Apr-20 01:13:00 UTC,0.394,54.057
Jupiter Uranus,2631, 2631-Oct-02 21:48:00 UTC,0.068,40.894
Jupiter Uranus,2632, 2632-Apr-19 13:56:00 UTC,1.436,117.709
Jupiter Uranus,2645, 2645-Dec-21 06:12:00 UTC,0.612,53.309
Jupiter Uranus,2646, 2646-May-27 07:24:00 UTC,0.853,147.522
Jupiter Uranus,2646, 2646-Jul-24 06:02:00 UTC,0.644,91.444
Jupiter Uranus,2660, 2660-Feb-10 10:55:00 UTC,0.549,41.932
Jupiter Uranus,2660, 2660-Aug-31 13:03:00 UTC,1.933,119.729
Jupiter Uranus,2674, 2674-Feb-01 09:30:00 UTC,0.095,21.029
Jupiter Uranus,2687, 2687-May-04 04:51:00 UTC,0.474,16.735
Jupiter Uranus,2700, 2700-Aug-27 00:20:00 UTC,0.735,70.694
Jupiter Uranus,2700, 2700-Dec-17 18:04:00 UTC,0.732,176.134
Jupiter Uranus,2701, 2701-Mar-26 15:33:00 UTC,0.422,74.558
Jupiter Uranus,2714, 2714-Sep-09 10:21:00 UTC,0.104,22.634
Jupiter Uranus,2728, 2728-Nov-24 07:06:00 UTC,0.53,30.663
Jupiter Uranus,2743, 2743-Jan-21 10:12:00 UTC,0.534,25.44
Jupiter Uranus,2757, 2757-Jan-16 14:16:00 UTC,0.089,33.788
Jupiter Uranus,2770, 2770-Apr-20 15:47:00 UTC,0.441,6.768
Jupiter Uranus,2783, 2783-Aug-05 18:37:00 UTC,0.696,53.927
Jupiter Uranus,2784, 2784-Feb-11 23:57:00 UTC,0.544,114.467
Jupiter Uranus,2797, 2797-Aug-18 09:31:00 UTC,0.129,6.838
Jupiter Uranus,2811, 2811-Nov-01 16:44:00 UTC,0.475,12.632
Jupiter Uranus,2826, 2826-Jan-01 17:21:00 UTC,0.519,10.278
Jupiter Uranus,2839, 2839-Jun-18 23:00:00 UTC,1.789,121.177
Jupiter Uranus,2840, 2840-Jan-01 20:09:00 UTC,0.082,45.604
Jupiter Uranus,2853, 2853-Apr-07 10:20:00 UTC,0.414,2.451
Jupiter Uranus,2866, 2866-Jul-16 19:50:00 UTC,0.656,39.508
Jupiter Uranus,2880, 2880-Jul-28 02:42:00 UTC,0.144,8.102
Jupiter Uranus,2894, 2894-Oct-08 15:56:00 UTC,0.437,5.446
Jupiter Uranus,2908, 2908-Dec-14 08:46:00 UTC,0.507,4.362
Jupiter Uranus,2922, 2922-May-23 02:41:00 UTC,0.162,96.188
Jupiter Uranus,2922, 2922-Jul-17 09:25:00 UTC,0.01,150.043
Jupiter Uranus,2922, 2922-Dec-15 11:15:00 UTC,0.084,59.977
Jupiter Uranus,2936, 2936-Mar-24 22:16:00 UTC,0.392,12.488
Jupiter Uranus,2949, 2949-Jun-30 23:57:00 UTC,0.625,27.969
Jupiter Uranus,2963, 2963-Jul-09 10:44:00 UTC,0.156,22.506
Jupiter Uranus,2977, 2977-Sep-16 05:29:00 UTC,0.414,22.485
Jupiter Uranus,2991, 2991-Nov-25 19:37:00 UTC,0.499,18.972
